idSensor;modelo;valor;dtColeta
3343;MQ-2;0;2024-05-11 13:09:56.139240
3344;MQ-7;496;2024-05-11 13:09:56.140240
3345;MQ-135;10000;2024-05-11 13:09:56.140240
3346;DHT-11;40.6;2024-05-11 13:09:56.140240
3347;MPU-6050;228.59571299567278;2024-05-11 13:09:56.141240
3348;VL53L0X;0.4800889571798572;2024-05-11 13:09:56.141240
3349;F01R064905;70;2024-05-11 13:09:56.141240
3343;MQ-2;0;2024-05-11 13:09:56.243469
3344;MQ-7;493;2024-05-11 13:09:56.244467
3345;MQ-135;10000;2024-05-11 13:09:56.245011
3346;DHT-11;41.5;2024-05-11 13:09:56.245011
3347;MPU-6050;184.1901191703833;2024-05-11 13:09:56.245997
3348;VL53L0X;0.467580170700794;2024-05-11 13:09:56.246996
3349;F01R064905;70;2024-05-11 13:09:56.246996
3343;MQ-2;0;2024-05-11 13:09:56.348639
3344;MQ-7;492;2024-05-11 13:09:56.348639
3345;MQ-135;10000;2024-05-11 13:09:56.349470
3346;DHT-11;41.8;2024-05-11 13:09:56.349470
3347;MPU-6050;153.16331153380042;2024-05-11 13:09:56.349470
3348;VL53L0X;0.4334980657866584;2024-05-11 13:09:56.350462
3349;F01R064905;70;2024-05-11 13:09:56.350462
3343;MQ-2;2;2024-05-11 13:09:56.451664
3344;MQ-7;494;2024-05-11 13:09:56.452577
3345;MQ-135;10003;2024-05-11 13:09:56.453576
3346;DHT-11;41.1;2024-05-11 13:09:56.454573
3347;MPU-6050;64.45153217728807;2024-05-11 13:09:56.454573
3348;VL53L0X;0.4184373283610649;2024-05-11 13:09:56.455576
3349;F01R064905;73;2024-05-11 13:09:56.455576
3343;MQ-2;5;2024-05-11 13:09:56.556681
3344;MQ-7;497;2024-05-11 13:09:56.556681
3345;MQ-135;10006;2024-05-11 13:09:56.557675
3346;DHT-11;40.8;2024-05-11 13:09:56.557675
3347;MPU-6050;227.3081608741754;2024-05-11 13:09:56.557675
3348;VL53L0X;0.41840128928038356;2024-05-11 13:09:56.558676
3349;F01R064905;74;2024-05-11 13:09:56.558676
3343;MQ-2;6;2024-05-11 13:09:56.660524
3344;MQ-7;500;2024-05-11 13:09:56.661502
3345;MQ-135;10014;2024-05-11 13:09:56.661502
3346;DHT-11;40.0;2024-05-11 13:09:56.662503
3347;MPU-6050;147.31598691248686;2024-05-11 13:09:56.662503
3348;VL53L0X;0.3870260932775247;2024-05-11 13:09:56.663501
3349;F01R064905;75;2024-05-11 13:09:56.663501
3343;MQ-2;3;2024-05-11 13:09:56.765084
3344;MQ-7;499;2024-05-11 13:09:56.765084
3345;MQ-135;10009;2024-05-11 13:09:56.766086
3346;DHT-11;40.1;2024-05-11 13:09:56.766086
3347;MPU-6050;168.6238417306402;2024-05-11 13:09:56.767096
3348;VL53L0X;0.3869311947420089;2024-05-11 13:09:56.767096
3349;F01R064905;73;2024-05-11 13:09:56.768098
3343;MQ-2;1;2024-05-11 13:09:56.870063
3344;MQ-7;496;2024-05-11 13:09:56.871064
3345;MQ-135;10001;2024-05-11 13:09:56.872067
3346;DHT-11;40.4;2024-05-11 13:09:56.872067
3347;MPU-6050;275.37247502246845;2024-05-11 13:09:56.873065
3348;VL53L0X;0.3868523003831519;2024-05-11 13:09:56.874064
3349;F01R064905;72;2024-05-11 13:09:56.874064
3343;MQ-2;0;2024-05-11 13:09:56.975187
3344;MQ-7;494;2024-05-11 13:09:56.976067
3345;MQ-135;10000;2024-05-11 13:09:56.977070
3346;DHT-11;41.3;2024-05-11 13:09:56.977070
3347;MPU-6050;204.3452960065389;2024-05-11 13:09:56.978066
3348;VL53L0X;0.34780737806623413;2024-05-11 13:09:56.978066
3349;F01R064905;70;2024-05-11 13:09:56.979064
3343;MQ-2;2;2024-05-11 13:09:57.080065
3344;MQ-7;502;2024-05-11 13:09:57.081066
3345;MQ-135;10004;2024-05-11 13:09:57.082065
3346;DHT-11;40.8;2024-05-11 13:09:57.082065
3347;MPU-6050;260.9923370522591;2024-05-11 13:09:57.083064
3348;VL53L0X;0.34775363141315424;2024-05-11 13:09:57.083064
3349;F01R064905;71;2024-05-11 13:09:57.084065
3343;MQ-2;1;2024-05-11 13:09:57.185064
3344;MQ-7;497;2024-05-11 13:09:57.186066
3345;MQ-135;10000;2024-05-11 13:09:57.186066
3346;DHT-11;41.2;2024-05-11 13:09:57.187064
3347;MPU-6050;95.29428104561154;2024-05-11 13:09:57.187064
3348;VL53L0X;0.32299845015633366;2024-05-11 13:09:57.188067
3349;F01R064905;70;2024-05-11 13:09:57.188067
3343;MQ-2;2;2024-05-11 13:09:57.289960
3344;MQ-7;503;2024-05-11 13:09:57.289960
3345;MQ-135;10004;2024-05-11 13:09:57.290921
3346;DHT-11;40.5;2024-05-11 13:09:57.290921
3347;MPU-6050;243.33310502272394;2024-05-11 13:09:57.290921
3348;VL53L0X;0.32293055807319804;2024-05-11 13:09:57.291920
3349;F01R064905;71;2024-05-11 13:09:57.291920
3343;MQ-2;1;2024-05-11 13:09:57.392927
3344;MQ-7;498;2024-05-11 13:09:57.393922
3345;MQ-135;10001;2024-05-11 13:09:57.394924
3346;DHT-11;41.0;2024-05-11 13:09:57.394924
3347;MPU-6050;304.4946633358293;2024-05-11 13:09:57.395922
3348;VL53L0X;0.32291562315111405;2024-05-11 13:09:57.395922
3349;F01R064905;70;2024-05-11 13:09:57.396922
3343;MQ-2;0;2024-05-11 13:09:57.497571
3344;MQ-7;494;2024-05-11 13:09:57.497571
3345;MQ-135;10000;2024-05-11 13:09:57.498450
3346;DHT-11;41.9;2024-05-11 13:09:57.498450
3347;MPU-6050;176.39444435695813;2024-05-11 13:09:57.498450
3348;VL53L0X;0.28797970797754363;2024-05-11 13:09:57.499445
3349;F01R064905;70;2024-05-11 13:09:57.499445
3343;MQ-2;2;2024-05-11 13:09:57.601104
3344;MQ-7;501;2024-05-11 13:09:57.601910
3345;MQ-135;10007;2024-05-11 13:09:57.602903
3346;DHT-11;40.9;2024-05-11 13:09:57.603905
3347;MPU-6050;260.2498799231231;2024-05-11 13:09:57.603905
3348;VL53L0X;0.28797585303623524;2024-05-11 13:09:57.603905
3349;F01R064905;71;2024-05-11 13:09:57.604903
3343;MQ-2;4;2024-05-11 13:09:57.706393
3344;MQ-7;509;2024-05-11 13:09:57.706393
3345;MQ-135;10014;2024-05-11 13:09:57.707392
3346;DHT-11;40.7;2024-05-11 13:09:57.707392
3347;MPU-6050;81.79853299418028;2024-05-11 13:09:57.707392
3348;VL53L0X;0.24583493016594007;2024-05-11 13:09:57.708393
3349;F01R064905;72;2024-05-11 13:09:57.708393
3343;MQ-2;2;2024-05-11 13:09:57.809825
3344;MQ-7;502;2024-05-11 13:09:57.810636
3345;MQ-135;10009;2024-05-11 13:09:57.811629
