idSensor;modelo;valor;dtColeta
3280;MQ-2;0;2024-05-02 01:10:11.725319
3281;MQ-7;498;2024-05-02 01:10:11.726317
3282;MQ-135;10000;2024-05-02 01:10:11.726317
3283;DHT-11;40.4;2024-05-02 01:10:11.726317
3284;MPU-6050;175.35677916750183;2024-05-02 01:10:11.727317
3285;VL53L0X;0.4515205451979273;2024-05-02 01:10:11.727317
3286;F01R064905;70;2024-05-02 01:10:11.728317
3280;MQ-2;3;2024-05-02 01:10:11.829316
3281;MQ-7;506;2024-05-02 01:10:11.831315
3282;MQ-135;10007;2024-05-02 01:10:11.836316
3283;DHT-11;40.0;2024-05-02 01:10:11.841318
3284;MPU-6050;314.10826159144557;2024-05-02 01:10:11.842317
3285;VL53L0X;0.45146777408226263;2024-05-02 01:10:11.843316
3286;F01R064905;71;2024-05-02 01:10:11.843316
3280;MQ-2;1;2024-05-02 01:10:11.944330
3281;MQ-7;498;2024-05-02 01:10:11.945339
3282;MQ-135;10001;2024-05-02 01:10:11.945339
3283;DHT-11;40.8;2024-05-02 01:10:11.946329
3284;MPU-6050;135.24052647043342;2024-05-02 01:10:11.946329
3285;VL53L0X;0.4154495635336967;2024-05-02 01:10:11.947328
3286;F01R064905;70;2024-05-02 01:10:11.948330
3280;MQ-2;3;2024-05-02 01:10:12.050379
3281;MQ-7;504;2024-05-02 01:10:12.050379
3282;MQ-135;10004;2024-05-02 01:10:12.051373
3283;DHT-11;40.5;2024-05-02 01:10:12.051373
3284;MPU-6050;240.06665740997852;2024-05-02 01:10:12.052383
3285;VL53L0X;0.41536297600545385;2024-05-02 01:10:12.052383
3286;F01R064905;71;2024-05-02 01:10:12.053373
3280;MQ-2;5;2024-05-02 01:10:12.154326
3281;MQ-7;508;2024-05-02 01:10:12.155327
3282;MQ-135;10012;2024-05-02 01:10:12.155327
3283;DHT-11;40.3;2024-05-02 01:10:12.156326
3284;MPU-6050;215.03720608304042;2024-05-02 01:10:12.156326
3285;VL53L0X;0.3877657386562896;2024-05-02 01:10:12.157325
3286;F01R064905;72;2024-05-02 01:10:12.157325
3280;MQ-2;8;2024-05-02 01:10:12.259266
3281;MQ-7;511;2024-05-02 01:10:12.259266
3282;MQ-135;10013;2024-05-02 01:10:12.260267
3283;DHT-11;39.8;2024-05-02 01:10:12.260267
3284;MPU-6050;201.58620984581262;2024-05-02 01:10:12.261269
3285;VL53L0X;0.3519778029269233;2024-05-02 01:10:12.261269
3286;F01R064905;75;2024-05-02 01:10:12.262268
3280;MQ-2;9;2024-05-02 01:10:12.363277
3281;MQ-7;513;2024-05-02 01:10:12.363277
3282;MQ-135;10016;2024-05-02 01:10:12.364268
3283;DHT-11;39.1;2024-05-02 01:10:12.365268
3284;MPU-6050;317.9591168688201;2024-05-02 01:10:12.365268
3285;VL53L0X;0.3519181630613699;2024-05-02 01:10:12.366268
3286;F01R064905;77;2024-05-02 01:10:12.367268
3280;MQ-2;8;2024-05-02 01:10:12.468267
3281;MQ-7;510;2024-05-02 01:10:12.469268
3282;MQ-135;10010;2024-05-02 01:10:12.469268
3283;DHT-11;39.9;2024-05-02 01:10:12.469268
3284;MPU-6050;237.96008068581588;2024-05-02 01:10:12.470269
3285;VL53L0X;0.33721319645329645;2024-05-02 01:10:12.471269
3286;F01R064905;75;2024-05-02 01:10:12.471269
3280;MQ-2;11;2024-05-02 01:10:12.573316
3281;MQ-7;511;2024-05-02 01:10:12.574328
3282;MQ-135;10018;2024-05-02 01:10:12.574328
3283;DHT-11;39.7;2024-05-02 01:10:12.575328
3284;MPU-6050;215.64090521049107;2024-05-02 01:10:12.575328
3285;VL53L0X;0.3225690090489568;2024-05-02 01:10:12.576339
3286;F01R064905;76;2024-05-02 01:10:12.576339
3280;MQ-2;12;2024-05-02 01:10:12.677527
3281;MQ-7;516;2024-05-02 01:10:12.678338
3282;MQ-135;10023;2024-05-02 01:10:12.678338
3283;DHT-11;39.3;2024-05-02 01:10:12.679337
3284;MPU-6050;200.68383093812017;2024-05-02 01:10:12.679337
3285;VL53L0X;0.305235060303009;2024-05-02 01:10:12.679337
3286;F01R064905;77;2024-05-02 01:10:12.680338
3280;MQ-2;14;2024-05-02 01:10:12.780933
3281;MQ-7;519;2024-05-02 01:10:12.781738
3282;MQ-135;10028;2024-05-02 01:10:12.781738
3283;DHT-11;38.5;2024-05-02 01:10:12.782736
3284;MPU-6050;99.22701245124736;2024-05-02 01:10:12.782736
3285;VL53L0X;0.265478631173385;2024-05-02 01:10:12.782736
3286;F01R064905;80;2024-05-02 01:10:12.783736
3280;MQ-2;11;2024-05-02 01:10:12.885288
3281;MQ-7;516;2024-05-02 01:10:12.885288
3282;MQ-135;10027;2024-05-02 01:10:12.886253
3283;DHT-11;38.6;2024-05-02 01:10:12.886253
3284;MPU-6050;238.55607307297797;2024-05-02 01:10:12.887243
3285;VL53L0X;0.26546219880141503;2024-05-02 01:10:12.887243
3286;F01R064905;79;2024-05-02 01:10:12.887243
3280;MQ-2;14;2024-05-02 01:10:12.988690
3281;MQ-7;522;2024-05-02 01:10:12.989707
3282;MQ-135;10031;2024-05-02 01:10:12.989707
3283;DHT-11;37.6;2024-05-02 01:10:12.989707
3284;MPU-6050;213.51112383199148;2024-05-02 01:10:12.990697
3285;VL53L0X;0.24143251698735793;2024-05-02 01:10:12.990697
3286;F01R064905;81;2024-05-02 01:10:12.991697
3280;MQ-2;15;2024-05-02 01:10:13.092186
3281;MQ-7;525;2024-05-02 01:10:13.092186
3282;MQ-135;10035;2024-05-02 01:10:13.093280
3283;DHT-11;37.2;2024-05-02 01:10:13.093280
3284;MPU-6050;207.96393918177256;2024-05-02 01:10:13.094238
3285;VL53L0X;0.1994630445006538;2024-05-02 01:10:13.094238
3286;F01R064905;84;2024-05-02 01:10:13.095239
3280;MQ-2;12;2024-05-02 01:10:13.196758
3281;MQ-7;523;2024-05-02 01:10:13.197748
3282;MQ-135;10034;2024-05-02 01:10:13.197748
3283;DHT-11;37.5;2024-05-02 01:10:13.198748
3284;MPU-6050;164.4901212839239;2024-05-02 01:10:13.199747
3285;VL53L0X;0.19882156991175756;2024-05-02 01:10:13.200748
3286;F01R064905;81;2024-05-02 01:10:13.201745
3280;MQ-2;10;2024-05-02 01:10:13.303076
3281;MQ-7;520;2024-05-02 01:10:13.303076
3282;MQ-135;10027;2024-05-02 01:10:13.304335
3283;DHT-11;37.7;2024-05-02 01:10:13.304335
3284;MPU-6050;129.41406415069423;2024-05-02 01:10:13.305345
3285;VL53L0X;0.15058781279634417;2024-05-02 01:10:13.305345
3286;F01R064905;80;2024-05-02 01:10:13.306356
3280;MQ-2;7;2024-05-02 01:10:13.407168
3281;MQ-7;518;2024-05-02 01:10:13.407971
3282;MQ-135;10023;2024-05-02 01:10:13.407971
3283;DHT-11;37.8;2024-05-02 01:10:13.408972
3284;MPU-6050;183.273020382161;2024-05-02 01:10:13.408972
3285;VL53L0X;0.15052914073352106;2024-05-02 01:10:13.408972
3286;F01R064905;77;2024-05-02 01:10:13.409971
3280;MQ-2;10;2024-05-02 01:10:13.511515
3281;MQ-7;520;2024-05-02 01:10:13.512313
3282;MQ-135;10026;2024-05-02 01:10:13.512313
3283;DHT-11;36.8;2024-05-02 01:10:13.512313
3284;MPU-6050;188.56829001717122;2024-05-02 01:10:13.513313
3285;VL53L0X;0.15050751797295633;2024-05-02 01:10:13.513313
3286;F01R064905;78;2024-05-02 01:10:13.515313
3280;MQ-2;12;2024-05-02 01:10:13.616499
3281;MQ-7;522;2024-05-02 01:10:13.617501
3282;MQ-135;10030;2024-05-02 01:10:13.617501
3283;DHT-11;36.5;2024-05-02 01:10:13.617501
3284;MPU-6050;243.19539469323837;2024-05-02 01:10:13.618512
3285;VL53L0X;0.15047450150596345;2024-05-02 01:10:13.618512
3286;F01R064905;81;2024-05-02 01:10:13.619499
3280;MQ-2;9;2024-05-02 01:10:13.721118
3281;MQ-7;517;2024-05-02 01:10:13.723118
3282;MQ-135;10029;2024-05-02 01:10:13.731118
3283;DHT-11;37.3;2024-05-02 01:10:13.732118
3284;MPU-6050;211.68372634664195;2024-05-02 01:10:13.732118
3285;VL53L0X;0.1294838833521198;2024-05-02 01:10:13.733119
3286;F01R064905;78;2024-05-02 01:10:13.733119
3280;MQ-2;12;2024-05-02 01:10:13.835125
3281;MQ-7;525;2024-05-02 01:10:13.835125
3282;MQ-135;10034;2024-05-02 01:10:13.836117
3283;DHT-11;36.4;2024-05-02 01:10:13.836117
3284;MPU-6050;247.0647688360281;2024-05-02 01:10:13.836117
3285;VL53L0X;0.12939032797370195;2024-05-02 01:10:13.837117
3286;F01R064905;81;2024-05-02 01:10:13.837117
3280;MQ-2;9;2024-05-02 01:10:13.938794
3281;MQ-7;517;2024-05-02 01:10:13.940779
3282;MQ-135;10028;2024-05-02 01:10:13.941779
3283;DHT-11;37.1;2024-05-02 01:10:13.942779
3284;MPU-6050;230.57536728800847;2024-05-02 01:10:13.943778
3285;VL53L0X;0.08773643026940538;2024-05-02 01:10:13.943778
3286;F01R064905;80;2024-05-02 01:10:13.945780
3280;MQ-2;12;2024-05-02 01:10:14.049804
3281;MQ-7;522;2024-05-02 01:10:14.050778
3282;MQ-135;10030;2024-05-02 01:10:14.050778
3283;DHT-11;36.2;2024-05-02 01:10:14.050778
3284;MPU-6050;120.8056290079233;2024-05-02 01:10:14.051790
3285;VL53L0X;0.04539867572998471;2024-05-02 01:10:14.051790
3286;F01R064905;81;2024-05-02 01:10:14.051790
3280;MQ-2;10;2024-05-02 01:10:14.153685
3281;MQ-7;519;2024-05-02 01:10:14.154680
3282;MQ-135;10025;2024-05-02 01:10:14.154680
3283;DHT-11;36.4;2024-05-02 01:10:14.155684
3284;MPU-6050;196.08416560242696;2024-05-02 01:10:14.155684
3285;VL53L0X;0.04536904974649122;2024-05-02 01:10:14.156677
3286;F01R064905;80;2024-05-02 01:10:14.156677
3280;MQ-2;9;2024-05-02 01:10:14.258078
3281;MQ-7;515;2024-05-02 01:10:14.258877
3282;MQ-135;10020;2024-05-02 01:10:14.258877
3283;DHT-11;36.6;2024-05-02 01:10:14.259886
3284;MPU-6050;240.56184236075347;2024-05-02 01:10:14.259886
3285;VL53L0X;0.04536873425291811;2024-05-02 01:10:14.259886
3286;F01R064905;78;2024-05-02 01:10:14.260878
3280;MQ-2;10;2024-05-02 01:10:14.362585
3281;MQ-7;516;2024-05-02 01:10:14.362585
3282;MQ-135;10026;2024-05-02 01:10:14.363651
3283;DHT-11;35.7;2024-05-02 01:10:14.363651
3284;MPU-6050;200.3447029496912;2024-05-02 01:10:14.363651
3285;VL53L0X;0.010470338170816093;2024-05-02 01:10:14.364650
3286;F01R064905;79;2024-05-02 01:10:14.364650
3280;MQ-2;13;2024-05-02 01:10:14.465594
3281;MQ-7;523;2024-05-02 01:10:14.466396
3282;MQ-135;10029;2024-05-02 01:10:14.466396
3283;DHT-11;35.4;2024-05-02 01:10:14.467391
3284;MPU-6050;218.66183937761065;2024-05-02 01:10:14.467391
3285;VL53L0X;0.010466009376255803;2024-05-02 01:10:14.467391
3286;F01R064905;81;2024-05-02 01:10:14.468391
3280;MQ-2;16;2024-05-02 01:10:14.569232
3281;MQ-7;525;2024-05-02 01:10:14.570258
3282;MQ-135;10031;2024-05-02 01:10:14.570258
3283;DHT-11;34.6;2024-05-02 01:10:14.570258
3284;MPU-6050;257.60434778939583;2024-05-02 01:10:14.571252
3285;VL53L0X;0.010393662444131375;2024-05-02 01:10:14.571252
3286;F01R064905;83;2024-05-02 01:10:14.571252
3280;MQ-2;15;2024-05-02 01:10:14.672754
3281;MQ-7;524;2024-05-02 01:10:14.673833
3282;MQ-135;10030;2024-05-02 01:10:14.673833
3283;DHT-11;35.4;2024-05-02 01:10:14.674781
3284;MPU-6050;222.13959575005984;2024-05-02 01:10:14.674781
3285;VL53L0X;-0.014342653327615185;2024-05-02 01:10:14.674781
3286;F01R064905;80;2024-05-02 01:10:14.675791
3280;MQ-2;18;2024-05-02 01:10:14.776562
3281;MQ-7;529;2024-05-02 01:10:14.777368
3282;MQ-135;10036;2024-05-02 01:10:14.777368
3283;DHT-11;35.1;2024-05-02 01:10:14.778370
3284;MPU-6050;93.68564457802486;2024-05-02 01:10:14.778370
3285;VL53L0X;-0.017774335019132066;2024-05-02 01:10:14.778370
3286;F01R064905;81;2024-05-02 01:10:14.779369
3280;MQ-2;16;2024-05-02 01:10:14.880578
3281;MQ-7;528;2024-05-02 01:10:14.881383
3282;MQ-135;10034;2024-05-02 01:10:14.881383
3283;DHT-11;35.5;2024-05-02 01:10:14.881383
3284;MPU-6050;96.59710140578754;2024-05-02 01:10:14.882380
